id,symbol,direction,session,h1_trend,open_time,close_time,entry_price,sl_price,tp_price,close_price,outcome,pnl_pips,pnl_dollars,lot_size,balance_after,equity_after,bars_held,atr_at_entry,rsi_at_entry,bb_upper,bb_lower,bb_mid,bb_bandwidth,adx_at_entry
1,EURUSD,SELL,NewYork,DOWN,2025-10-06 14:15:00+00:00,2025-10-06 14:50:00+00:00,1.17015,1.17115,1.16864,1.17115,LOSS,-10.0,-107.4,1.0,9892.6,9892.6,7,0.000502,68.3,1.17054,1.16797,1.16925,0.002197,26.62
2,EURUSD,SELL,NewYork,DOWN,2025-10-07 15:35:00+00:00,2025-10-07 15:40:00+00:00,1.16686,1.16774,1.16554,1.16774,LOSS,-8.8,-107.11,1.13,9785.49,9785.49,1,0.000439,58.46,1.1675,1.16505,1.16627,0.002093,27.43
3,EURUSD,SELL,NewYork,DOWN,2025-10-10 15:35:00+00:00,2025-10-12 22:05:00+00:00,1.16209,1.16381,1.15951,1.15951,WIN,25.8,142.96,0.57,9928.45,9928.45,77,0.000859,73.55,1.16309,1.15429,1.15869,0.00759,27.03
4,EURUSD,BUY,London,UP,2025-10-13 07:20:00+00:00,2025-10-13 08:15:00+00:00,1.16068,1.15965,1.16222,1.15965,LOSS,-10.3,-106.59,0.97,9821.87,9821.87,11,0.000514,37.06,1.16321,1.16021,1.16171,0.002586,28.93
5,EURUSD,BUY,NewYork,UP,2025-10-17 14:25:00+00:00,2025-10-17 20:40:00+00:00,1.16657,1.16547,1.16821,1.16547,LOSS,-11.0,-104.98,0.9,9716.88,9716.88,75,0.000548,37.32,1.16855,1.16597,1.16726,0.002212,37.63
6,EURUSD,SELL,NewYork,DOWN,2025-10-21 16:15:00+00:00,2025-10-21 19:55:00+00:00,1.16163,1.16267,1.16007,1.16007,WIN,15.6,138.63,0.93,9855.51,9855.51,44,0.00052,56.18,1.16234,1.15981,1.16108,0.002174,41.69
7,EURUSD,SELL,NewYork,DOWN,2025-11-20 14:10:00+00:00,2025-11-20 14:25:00+00:00,1.15263,1.15401,1.15056,1.15401,LOSS,-13.8,-103.15,0.71,9752.35,9752.35,3,0.000691,57.53,1.15362,1.15022,1.15192,0.002955,36.31
8,EURUSD,BUY,NewYork,UP,2025-12-16 16:15:00+00:00,2025-12-16 18:00:00+00:00,1.17699,1.1757,1.17893,1.1757,LOSS,-12.9,-102.21,0.75,9650.14,9650.14,21,0.000646,40.62,1.18015,1.17614,1.17815,0.003409,26.61
9,EURUSD,SELL,NewYork,DOWN,2026-01-05 15:10:00+00:00,2026-01-05 15:30:00+00:00,1.16884,1.16982,1.16736,1.16982,LOSS,-9.8,-103.32,0.98,9546.82,9546.82,4,0.000492,65.77,1.16953,1.1658,1.16767,0.003193,35.93
10,EURUSD,BUY,NewYork,UP,2026-01-21 14:30:00+00:00,2026-01-21 15:20:00+00:00,1.17248,1.17108,1.17458,1.17108,LOSS,-14.0,-100.03,0.68,9446.79,9446.79,10,0.000701,46.04,1.17445,1.17186,1.17315,0.002202,33.45
11,EURUSD,BUY,NewYork,UP,2026-01-21 15:35:00+00:00,2026-01-21 15:55:00+00:00,1.17163,1.17029,1.17364,1.17029,LOSS,-13.4,-100.02,0.71,9346.77,9346.77,4,0.000669,42.1,1.17388,1.17067,1.17228,0.002738,31.23
12,EURUSD,BUY,NewYork,UP,2026-01-26 13:15:00+00:00,2026-01-26 13:45:00+00:00,1.18404,1.18323,1.18526,1.18526,WIN,12.2,132.41,1.15,9479.18,9479.18,6,0.000407,33.11,1.18626,1.18349,1.18487,0.002334,42.75
13,EURUSD,SELL,London,DOWN,2026-01-30 08:10:00+00:00,2026-01-30 09:25:00+00:00,1.19366,1.1949,1.19179,1.19179,WIN,18.7,136.42,0.76,9615.6,9615.6,15,0.000622,61.18,1.19409,1.19115,1.19262,0.002469,28.0
14,EURUSD,SELL,NewYork,DOWN,2026-02-19 15:15:00+00:00,2026-02-19 21:30:00+00:00,1.17608,1.17759,1.17382,1.17759,LOSS,-15.1,-100.91,0.64,9514.69,9514.69,75,0.000753,53.55,1.17683,1.17405,1.17544,0.002364,34.91
15,EURUSD,BUY,London,UP,2026-02-23 11:45:00+00:00,2026-02-23 12:20:00+00:00,1.17861,1.17787,1.17972,1.17787,LOSS,-7.4,-104.13,1.29,9410.56,9410.56,7,0.000369,29.26,1.1806,1.17821,1.17941,0.002025,37.18
16,EURUSD,BUY,London,UP,2026-03-10 10:45:00+00:00,2026-03-10 12:05:00+00:00,1.16368,1.16242,1.16558,1.16242,LOSS,-12.6,-98.72,0.74,9311.84,9311.84,16,0.000632,39.09,1.16637,1.16326,1.16481,0.002669,30.52
17,EURUSD,SELL,London,DOWN,2026-03-16 08:40:00+00:00,2026-03-16 09:15:00+00:00,1.14369,1.14472,1.14215,1.14472,LOSS,-10.3,-99.7,0.91,9212.14,9212.14,7,0.000513,56.34,1.14445,1.14157,1.14301,0.002521,32.13
18,EURUSD,BUY,London,UP,2026-03-20 10:15:00+00:00,2026-03-20 10:50:00+00:00,1.15433,1.15322,1.156,1.156,WIN,16.7,132.63,0.83,9344.77,9344.77,7,0.000556,29.41,1.15832,1.15368,1.156,0.004012,38.66
19,EURUSD,BUY,NewYork,UP,2026-03-20 14:35:00+00:00,2026-03-20 15:20:00+00:00,1.1536,1.15228,1.15558,1.15558,WIN,19.8,135.33,0.71,9480.09,9480.09,9,0.000659,35.93,1.15698,1.15246,1.15472,0.003918,32.09
